id,winpercent, oppwinpercent, weather, temperature, numinjured, oppnuminjured, startingpitcher, oppstartingpitcher, dayssincegame, oppdayssincegame, homeaway, rundifferential, opprundifferential, winner
29,0.3886478022,0.0619208542,1,51.5122072311,1,3,3,4,1,3,0,56,44,0
30,0.5000068902,?,1,68.7949256191,2,1,5,3,3,0,0,72,43,1
31,0.4694062872,0.2800969074,0,64.9066667057,?,1,3,3,4,4,0,?,9,1
32,0.3874824729,0.5759790099,0,67.3472681833,1,3,1,1,3,2,1,43,72,0
33,?,0.6486946391,1,73.7695525453,1,1,1,5,1,?,1,47,71,1
34,0.6618997615,0.1814620228,-1,59.3473888412,1,0,4,4,3,4,0,35,46,0
35,0.1324825843,0.2968816936,1,47.6554724202,1,3,1,5,1,3,1,6,76,0
36,0.3268597569,0.5438017412,-1,59.7622565024,2,1,4,2,4,1,0,54,103,1
37,0.6837015673,0.1119340909,0,56.234511876,?,0,1,3,2,2,0,19,61,0
38,0.2615619692,0.5573906177,-1,55.6895713489,1,2,1,3,4,4,0,8,41,0
39,0.7112263619,0.6916790422,-1,?,0,1,?,3,2,4,1,?,43,0
40,0.4340231653,0.2201531336,-1,?,?,0,1,4,?,0,1,41,48,1
41,0.5446337481,0.6234005223,-1,?,1,-1,5,2,3,4,0,19,54,1
42,0.525758115,0.6721092511,1,56.6920729483,?,1,3,1,3,2,1,14,39,1
43,0.6179848124,0.4476428138,0,74.4867630025,2,2,3,4,?,3,0,90,79,1
44,0.4982973434,0.5736138354,?,?,3,0,2,3,3,3,0,70,34,1
45,0.6837735365,0.2905206736,?,51.7771927815,1,1,3,4,2,?,0,?,87,0
46,0.1974605386,0.7177510696,1,67.9749451969,2,2,4,3,1,3,1,?,48,1
47,0.2519659774,0.397108391,0,81.8883945602,1,1,?,1,2,3,0,53,10,1
48,0.2844981661,0.3269883594,1,58.4262668251,3,3,?,1,?,3,1,74,57,1
49,?,-0.0278767355,-1,61.8603317029,1,0,2,1,2,1,0,?,34,1
50,0.5900792939,0.4236618974,0,65.8100216509,0,0,4,?,2,1,1,116,43,1
51,0.6726603193,0.4558231151,0,67.8319106332,3,1,?,4,1,4,1,64,43,1
52,0.4238633118,0.7065220414,-1,65.0804720681,1,4,5,1,2,2,0,50,45,0
53,0.4144984641,0.5249674029,1,60.1377509396,3,3,4,?,2,2,1,?,49,1
54,0.3998170098,0.8226094885,1,71.9950371787,2,1,2,5,2,2,0,78,40,?
55,0.6346508492,0.7118243476,1,64.548999737,0,0,4,5,3,2,1,62,66,1
56,0.6646395913,0.3923593319,1,62.5181403957,1,2,4,5,4,1,0,65,54,0
57,0.8136426118,0.5366119016,-1,70.8928303537,1,2,?,2,?,2,0,9,83,0
58,0.2066485745,0.6559857041,-1,74.6687459725,2,1,4,4,1,3,1,22,44,1
59,0.6662738826,0.4520835747,0,66.2606656883,1,2,1,5,4,?,1,91,57,0
60,0.6800839846,0.8146802655,0,72.4633056144,1,3,4,3,3,2,1,52,45,0
61,1.0059288411,0.3615613054,?,72.2022157737,2,2,2,5,3,2,1,82,39,1
62,0.4488213916,?,0,62.7233898867,2,1,2,5,?,?,0,59,70,1
63,?,0.4729475765,-1,52.0179829191,1,2,1,1,3,3,1,75,70,0
64,0.4391595554,?,1,68.094650071,-1,4,5,5,3,4,1,32,41,0
65,0.4658657973,0.9120317928,-1,64.4295793738,3,1,3,1,1,2,1,57,64,1
66,0.3565257526,0.8963659077,1,60.7027393626,1,2,3,2,2,1,1,73,33,1
67,?,0.2825104082,0,74.9907578186,1,2,2,4,1,2,?,66,35,?
68,0.6622865466,0.5892690003,1,81.6428918364,1,0,?,4,3,2,0,64,31,1
69,0.4048824776,0.4535350838,-1,69.7673860679,2,0,1,1,2,?,0,7,10,1
70,0.2079849246,0.4769226534,0,74.2617030672,2,2,4,4,3,4,0,45,47,1
71,0.7807178232,0.4055544342,-1,58.6446793258,3,1,1,4,4,1,1,71,46,1
72,0.6921992868,0.3280842918,1,75.0942476317,3,3,1,?,1,1,1,80,42,1
73,0.6252293226,0.4571848042,0,67.0151597433,1,2,1,3,2,3,1,39,56,0
74,0.4012885623,0.4071512514,-1,72.6887881635,1,1,2,5,4,3,0,68,58,1
75,0.6974281299,0.4953916891,0,62.7492192087,2,3,3,4,3,3,0,42,16,0
76,0.5222939156,0.6475181274,-1,?,2,2,5,5,2,3,1,58,24,1
77,0.3719496416,0.7828610191,-1,62.5808200722,2,1,5,2,2,0,1,60,68,1
78,0.5725969393,0.56640863,0,69.2451573337,1,3,3,4,0,4,0,66,70,0
79,0.4656233842,0.4949323814,1,60.6849848273,2,1,1,5,4,3,0,62,75,1
80,0.3825248858,0.3185251325,-1,75.8584467135,1,2,5,1,1,2,1,62,?,0
81,0.8101027193,0.6170505325,-1,63.8728396918,2,-1,3,2,3,3,1,17,39,1
82,0.2728650345,0.7146318002,-1,49.6053040533,1,2,5,2,1,2,1,44,50,0
83,0.3374620286,0.8197555254,-1,80.2432143276,2,2,2,3,4,3,1,45,64,1
84,0.5135455107,0.6724168514,0,75.2381756953,2,1,1,4,3,2,1,62,70,1
85,0.8202387844,0.391066002,1,61.9321773647,1,?,4,5,3,3,0,43,54,0
86,0.357882201,0.6223130866,1,64.0695087164,0,1,4,5,2,2,1,26,?,0
87,0.7936186076,0.4773998936,0,53.7705615722,3,3,4,2,3,1,1,28,57,0
88,0.4751687258,0.9253487895,1,62.5884571941,2,1,4,2,2,4,0,89,80,1
89,0.3276886262,0.3795026934,1,74.2366935109,3,1,2,2,4,1,1,56,?,1
90,0.6180490247,0.7308195036,1,63.6385870458,2,2,5,5,2,1,1,44,63,1
91,0.1579688168,0.320448651,0,64.0001256979,1,2,2,1,4,1,0,11,59,0
92,0.4871806234,0.9679034945,1,74.9741189462,3,3,3,4,2,3,1,?,62,1
93,0.4107321125,0.4044364078,-1,64.8707252384,0,0,4,4,2,1,1,30,49,1
94,0.2551034016,0.3261680702,1,61.6865791843,3,3,1,1,3,3,0,61,29,1
95,0.6265946925,0.5997098148,0,62.5489116123,2,0,1,1,2,1,1,76,40,1
96,0.5668532196,0.3401875651,1,62.7124280949,1,0,4,2,2,2,1,67,36,1
97,0.491888772,0.4346568667,1,77.522195813,1,0,1,5,3,?,1,?,26,1
98,0.3298293262,0.4527899085,1,65.5480342748,0,2,5,1,3,3,0,92,66,0
99,0.5560954829,0.5790996001,-1,79.85054592,2,1,1,2,4,3,1,68,52,1
100,0.4037741653,0.9037611704,0,57.8470431606,2,2,5,2,3,3,?,52,10,1
101,0.5091046648,0.3645656825,-1,68.926340364,1,1,4,?,2,2,0,28,15,1
102,0.5509876056,?,0,72.1573983908,3,1,?,4,1,1,0,79,22,1
103,0.3242830659,0.4046650819,0,58.0514213372,2,1,2,2,4,1,0,46,37,1
104,0.3383898846,0.3133610324,-1,67.1837231882,1,1,5,2,3,3,?,32,20,1
105,0.3560636656,0.6118122533,1,62.8861170316,3,3,4,4,3,3,0,41,75,1
106,0.7779706798,0.0852064911,0,68.009067657,1,1,4,1,2,2,0,39,64,0
107,0.4270870692,0.5667562392,?,?,0,-1,5,1,3,3,0,75,22,1
108,0.5155085672,0.5486929845,1,64.3413168865,?,3,3,3,3,4,0,57,47,0
109,0.5512622774,0.5797465837,-1,73.0939315012,2,1,1,1,3,3,1,9,33,1
110,0.4748707317,0.4019290006,1,70.1997582404,0,2,4,5,3,2,1,47,72,0
111,0.5295803894,0.3854962081,1,?,0,?,1,?,2,3,1,37,56,0
112,0.2256271399,0.2403942858,-1,56.9035605708,2,2,3,1,2,4,0,4,50,1
113,0.5741566414,0.5434896944,-1,66.8852253581,2,?,1,2,2,3,1,77,101,1
114,0.441275233,?,0,66.1882560736,1,0,3,4,3,2,0,27,52,1
115,0.1198079835,0.3933193918,0,74.9626233522,3,1,2,4,2,1,0,34,55,1
116,0.5537883162,1.0639891289,1,75.9194379332,2,2,2,2,3,2,0,?,42,1
117,?,0.4910174638,-1,69.4138419059,1,0,4,1,1,3,1,21,41,1
118,0.3156558681,?,1,69.2019547409,3,3,4,5,3,4,1,69,39,1
119,0.7390600537,0.5409858241,1,?,1,2,3,1,2,3,0,34,19,0
120,0.4128578472,0.3549166935,0,81.4311442709,1,0,2,3,2,3,1,50,41,1
121,0.5049597205,0.8742592213,1,71.3905335539,?,1,5,?,2,2,0,43,78,1
122,?,?,0,60.3138726873,0,2,5,2,3,2,0,?,27,0
123,0.3364086592,0.3307955701,-1,58.2032781494,2,1,2,4,1,3,1,60,25,1
124,0.5928689744,0.5419275127,-1,72.5356317873,2,0,4,5,4,3,1,59,60,1
125,0.5997460819,0.2006132325,0,64.3828920313,2,1,4,5,3,3,0,96,?,0
126,0.492701179,0.339765099,0,59.2288205896,1,1,5,2,4,2,0,59,59,1
127,0.2596480892,?,-1,68.5743295155,1,2,4,1,4,3,1,?,40,0
128,0.2026216499,0.5585162973,1,?,1,1,1,5,4,3,1,58,20,1
129,0.4354606771,0.6646604253,0,66.6915088966,0,1,4,1,4,2,1,35,52,0
130,0.757730596,0.529568094,0,71.3164533392,1,1,5,1,3,3,0,37,53,1
131,0.3881107558,0.6248894971,-1,59.8613386163,1,2,3,2,2,3,0,27,58,0
132,0.6680211554,0.7995213313,-1,62.9855447762,2,3,2,3,0,3,1,43,43,0
133,0.6467366046,0.6739633828,0,64.343096987,2,3,4,3,3,1,0,23,59,0
134,0.3995327479,0.7867851884,1,57.9722544656,2,1,2,4,-1,3,1,38,65,1
135,0.8571342224,0.7835247722,0,75.792608904,4,1,3,1,3,1,0,66,71,1
136,0.5190680169,0.5999288687,0,?,2,1,1,1,1,2,0,42,48,1
137,0.6410872803,0.6112809379,?,64.7048007095,?,2,1,1,4,4,0,41,?,0
138,0.270170523,0.2087589234,1,58.8239285888,?,?,5,1,1,2,0,56,76,1
139,0.5725713239,0.8766613183,0,63.9372341595,0,1,2,2,2,1,1,?,89,0
140,0.5861465425,0.2848693142,0,67.1297111004,3,2,5,2,0,3,?,36,61,0
141,0.6673655082,0.4592445753,-1,71.9248162956,0,1,2,1,2,5,0,23,54,0
142,0.5030025429,0.5697053528,1,65.7181731989,4,1,3,1,4,4,0,17,28,1
143,0.4032022213,?,0,71.1445902888,1,3,2,3,?,2,0,45,62,0
144,0.3254543236,0.6140300008,0,55.7052163264,1,1,3,3,3,3,0,26,?,?
145,0.306157544,0.4290638523,-1,55.3874581824,3,2,2,4,1,3,?,17,23,1
146,0.5715073917,0.6531516047,-1,68.9114953727,1,3,3,3,3,3,1,67,36,1
147,0.3343748926,0.3511287728,0,75.3599031476,?,1,5,1,1,?,1,43,49,1
148,0.0302156988,0.5597030721,1,66.5413101288,0,1,1,3,3,2,1,48,57,0
149,0.4568671101,0.586728311,0,77.2933773555,2,?,5,1,2,3,1,77,42,1
150,0.1878796299,0.4785124454,1,55.4732508318,1,2,5,2,3,3,1,17,28,0
151,0.3742889358,0.5548591187,0,?,1,0,1,2,2,3,0,17,40,1
152,0.2220956645,0.6413237237,0,54.6504350042,3,-1,5,1,3,2,0,59,?,1
153,0.4548597671,0.5398175896,-1,55.8554085835,?,0,2,1,2,2,1,40,44,1
154,0.570379421,0.3033467293,0,50.1984554891,2,2,3,2,1,4,1,27,7,1
155,0.5973447003,0.7730007683,-1,71.8879932602,0,1,4,1,2,?,0,55,61,0
156,0.7681894013,0.0144861597,-1,52.4340425164,?,0,3,4,3,1,0,81,48,0
157,0.5981986791,0.5582265019,-1,58.6844571598,1,0,3,1,1,2,?,69,49,1
158,0.6021331685,0.4893035285,1,55.6342427722,2,2,2,5,1,4,1,56,?,1
159,?,0.8491589941,-1,58.1529450925,2,0,3,4,2,1,0,34,57,1
160,0.6177063736,1.0339956387,-1,64.8467445727,3,1,5,2,?,2,0,31,31,1
161,0.8744986968,0.6446959878,1,59.5844271918,1,1,5,3,2,?,1,?,?,1
162,0.637474279,0.4905563646,-1,54.6896992768,2,2,3,1,2,3,1,28,40,1
163,0.7576914271,0.4463266599,-1,56.6885278211,0,0,2,5,2,4,0,49,?,1
164,0.4667831142,0.4505897001,-1,55.8339347561,3,1,1,4,2,4,1,58,65,1
165,0.7614718082,0.4994957829,1,66.5823055102,0,2,3,5,4,2,1,38,33,0
166,0.506911725,0.4419751891,-1,69.3960741468,2,5,?,2,?,3,0,22,41,0
167,0.5350132998,0.6315640839,-1,68.9510175087,?,1,2,3,4,?,1,61,59,1
168,?,0.307271009,1,62.3892056937,1,0,1,4,5,2,1,39,60,1
169,0.4591677416,0.2981174031,-1,69.4363006146,3,1,2,1,1,2,0,87,47,1
170,0.4977491644,?,0,67.8495465643,2,0,4,4,4,2,0,43,26,1
171,0.2347354077,0.2146398459,0,66.9514781836,2,0,2,5,3,3,0,71,49,1
172,0.5111769685,?,0,70.5659693964,0,2,2,?,1,2,0,33,99,0
173,0.5754079983,0.5979847647,0,75.5238018686,?,2,5,5,3,2,1,39,44,1
174,0.2326766949,0.225951323,-1,61.9029158344,1,1,4,3,2,2,1,65,73,1
175,0.7709365,0.7576576649,-1,62.7878788828,2,2,4,4,0,2,0,31,26,1
176,0.4347781167,0.5638689323,1,71.5535332848,3,0,5,1,2,3,0,54,80,1
177,0.5788217643,0.7462643959,-1,67.5798581239,?,3,1,3,4,3,0,43,48,0
178,0.5715716067,1.1394949619,1,59.6153322748,1,4,?,4,3,3,1,51,23,1
179,0.2537123712,0.4370065062,-1,57.9761507696,2,1,4,?,1,4,0,73,84,1
180,0.2744212731,0.5421213504,0,49.1728087826,3,2,2,4,2,3,0,31,31,1
181,0.8715269295,0.4959577847,0,58.987473352,4,1,2,1,4,3,1,94,51,1
182,0.5169454224,0.4394987285,-1,65.1385289024,3,3,5,2,3,2,0,50,71,1
183,0.2855531947,0.2560572127,0,73.3291451634,3,2,1,1,3,3,1,79,38,1
184,0.3767499605,0.559095051,-1,76.4008452253,2,1,2,5,0,3,1,58,58,1
185,0.5245028355,0.3794827906,?,57.9128455632,1,2,5,2,2,4,1,2,62,0
186,0.558833934,0.4517610946,0,?,2,2,2,4,3,1,?,65,85,1
187,0.4327480958,0.6184329734,?,74.7268027432,-1,2,1,5,3,3,0,-7,33,1
188,0.3896336288,0.3171441099,-1,66.2842516091,2,0,1,3,3,4,0,35,79,1
189,0.5823784321,0.9726480796,0,79.7634725214,2,3,?,1,2,3,?,72,82,0
190,0.7232847158,0.5172471745,-1,55.373031487,1,3,?,1,2,2,1,?,60,0
191,0.3719493254,0.4857197911,-1,77.6197858543,2,2,1,1,4,2,1,?,46,1
192,0.6233092836,0.7697265596,1,59.3708621527,3,1,2,4,3,2,0,47,73,?
193,0.3535042395,0.5611138506,1,60.418131308,1,1,?,3,2,3,1,29,?,1
194,0.3893807597,?,0,55.4419051593,2,3,3,5,4,3,0,52,59,0
195,0.1438754184,0.4954289375,-1,73.4518632467,0,1,4,4,3,?,0,41,61,0
196,0.272007828,0.6017739302,0,61.4227157441,3,0,1,1,2,2,?,71,46,?
197,0.3879366247,0.4089008601,0,48.5452582684,1,0,3,4,0,4,?,55,51,1
198,0.4673622889,0.4476198639,1,55.8829047024,2,1,2,5,3,3,0,?,36,1
199,0.4934754469,0.179748828,0,?,2,2,1,2,2,4,0,47,31,?
200,0.5282821692,0.664037025,-1,70.8026324577,1,0,3,1,3,3,1,63,21,1
201,0.3665710609,0.0178527981,0,65.6638997745,0,1,2,2,2,4,0,18,38,0
202,0.5775181591,0.3216634129,1,65.8505097277,2,1,5,4,3,5,0,58,?,1
203,0.4667457195,0.5731099023,1,65.398435496,2,2,4,2,2,3,0,44,50,1
204,0.1584993758,0.4189308733,1,60.1122855457,3,1,3,4,3,?,1,32,63,1
205,0.5511580091,?,-1,68.6330009287,1,2,1,3,2,3,1,58,33,1
206,0.524650239,0.2260171835,-1,64.5465580241,3,?,2,?,1,2,0,50,47,1
207,0.9479673793,0.5628732767,-1,61.2827157294,1,2,4,1,3,3,1,84,31,1
208,0.5687746625,0.7864511347,1,61.6872904508,2,1,2,3,3,2,1,?,38,1
209,0.5711072706,0.6353373217,0,68.7885029195,2,2,4,3,2,1,1,?,56,1
210,0.4590232107,0.4205069014,0,67.9921254633,1,2,4,3,3,2,1,68,?,0
211,0.7041263448,0.2862415,1,50.4598447283,2,1,1,4,4,2,0,79,14,1
212,0.6349908226,0.4964086221,0,60.3090066638,4,1,2,1,2,1,0,12,61,1
213,0.4799366395,0.4623570027,-1,57.1383107094,0,2,1,4,2,3,0,32,45,0
214,0.719697524,0.420819108,0,59.2318362095,2,2,4,1,2,2,0,57,36,1
215,0.3212082352,0.7383844536,-1,64.8812147156,3,2,1,5,2,2,1,62,96,1
216,?,0.426422283,-1,70.9370239118,0,1,4,1,2,1,1,21,43,0
217,0.4954597671,0.4800980649,1,61.1964791582,1,1,1,2,1,4,1,55,45,1
218,0.0002629631,0.6181910159,1,72.5052983742,1,1,3,4,1,4,1,42,31,1
219,0.5209152475,1.0730850342,1,63.368408424,?,1,2,4,3,0,0,71,41,1
220,0.4409133863,0.2250926681,0,67.9382325653,0,2,1,1,3,0,1,62,52,0
221,0.543314223,0.4995827767,-1,61.1105512604,1,0,3,1,3,1,1,74,50,1
222,0.6782601802,0.4757648418,0,?,2,2,4,1,4,1,1,47,71,1
223,0.4077481554,0.6278909271,-1,62.8695104209,?,2,2,3,1,2,1,49,39,0
224,0.2635723777,0.1701120743,-1,59.8293803105,3,-1,2,3,1,2,1,38,42,1
225,0.1981157761,0.4158393978,-1,54.2542562077,0,0,2,3,4,2,1,36,87,1
226,0.1981715744,0.6508950499,1,72.3755215623,3,2,1,4,2,3,1,48,38,1
227,0.7106963927,?,0,64.7346625731,0,?,4,5,2,2,1,46,55,0
228,0.3747821482,0.3999376968,0,71.4204710368,2,3,3,5,1,3,1,120,68,0
229,0.639103844,0.6691990949,1,65.5763319986,1,2,1,2,2,2,0,43,7,1
230,0.1639994392,0.5985659274,0,55.3943441875,0,1,2,4,1,3,1,51,69,0
231,0.0782657595,0.6067542482,-1,62.9178294536,2,1,1,2,2,2,0,52,46,1
232,0.4912649189,0.44236525,?,77.4490860843,1,2,1,2,4,2,0,55,51,0
233,0.6371494757,0.5905545121,0,61.4961910981,2,2,1,5,2,2,1,39,41,1
234,0.6039008121,0.5229934281,0,71.1156081628,1,0,1,1,3,2,1,19,59,1
235,0.7088420913,0.5622474349,-1,62.6753497917,1,1,1,5,3,2,1,31,18,1
236,0.4619450527,0.837021413,-1,64.210868776,2,1,5,5,3,2,1,33,20,1
237,0.2060114246,0.5495987631,1,63.356417854,?,2,5,2,5,?,0,46,48,?
238,0.5402512495,0.4825672751,?,59.8902385903,2,2,?,1,3,3,0,29,52,1
239,0.6732818172,0.6016846794,-1,62.2593112329,2,?,1,3,2,2,1,39,47,1
240,0.5403277801,0.1893978409,0,67.404653621,1,-1,4,3,2,?,1,41,45,0
241,0.572237331,0.757230222,0,68.0325488374,1,1,4,2,2,4,1,47,52,1
242,0.5212995667,0.2726782155,-1,65.6273042323,1,0,5,5,?,2,1,40,27,1
243,0.8583288599,0.576821486,0,66.6642293712,2,2,5,5,2,1,1,53,42,1
244,0.492293766,0.4555343128,1,56.8897136816,2,1,3,3,1,3,0,-5,54,1
245,0.8658094623,0.7257031036,0,58.4224611197,2,2,5,4,4,3,0,57,49,1
246,0.6479162751,0.6436416275,0,68.7420465037,1,2,1,2,2,2,0,31,69,0
247,0.4117881054,0.3429905718,0,76.2950735105,1,2,5,4,2,2,1,25,53,0
248,0.412595436,0.3736265984,0,60.5976297322,1,2,3,2,2,3,1,80,57,0
249,0.1356628871,0.3054404823,1,70.4919950866,1,-1,2,4,0,1,0,78,41,1
250,0.3567161345,0.5278942233,-1,56.7332139518,2,?,1,2,4,4,0,61,99,0
251,0.4323008596,0.3910687147,1,60.5910687446,1,2,?,?,?,4,0,52,64,?
252,?,0.5515280164,-1,72.8438502805,2,2,1,4,3,3,0,40,42,1
253,?,0.5561918927,0,57.4904771676,?,2,5,5,3,3,1,50,87,0
254,0.6467840519,0.7304712353,1,72.799981605,2,1,?,5,4,4,1,60,35,1
255,0.267848253,0.5394418868,1,61.4667958958,1,2,4,4,1,4,1,17,50,0
256,0.6681235253,0.7496738223,1,78.9250353419,2,1,2,3,1,1,1,56,35,1
257,0.5179469867,0.3907807384,0,53.9268753855,2,3,1,1,-1,4,0,35,83,0
258,0.7808409225,0.3482422118,-1,?,3,2,2,5,2,2,0,?,53,0
259,0.435688905,0.3529336529,1,63.469773115,2,4,3,3,?,3,1,40,66,0
260,0.2386729112,0.6166345144,-1,56.8538398228,?,2,5,2,1,3,1,74,64,1
261,0.3752055895,0.59803251,-1,68.6250390241,2,2,3,1,3,2,1,63,72,1
262,0.6707262169,0.7198210301,0,61.6890327267,?,0,5,1,3,3,?,40,31,1
263,0.2117211107,0.6835691142,1,54.4735517528,2,1,4,4,2,4,?,64,25,1
264,0.7089977592,0.2736536533,0,67.6849378089,1,3,2,5,2,4,0,33,68,0
265,0.610518457,0.6961321011,0,74.7636188959,?,0,?,5,2,1,0,18,30,1
266,0.5677494556,0.6495074711,0,68.6150417796,2,2,2,1,1,1,1,53,54,1
267,0.1557418492,0.4314352361,-1,64.1837176611,1,2,1,1,4,2,1,62,69,0
268,0.4688188121,0.6626346289,0,66.9132017112,1,2,3,5,2,4,1,?,50,0
269,0.4415323183,0.5473311404,1,55.9131065533,0,3,1,5,2,2,1,49,47,0
270,0.518619569,0.3363641527,?,59.6248995935,3,?,2,2,3,1,1,38,28,?
271,0.5870249881,0.3036735307,0,70.545281531,1,?,1,5,2,2,1,50,-8,1
272,?,0.3528885552,-1,63.3747486271,3,3,3,3,1,3,1,93,46,1
273,0.723472924,0.4440657854,-1,73.3221054328,2,1,5,2,4,3,0,67,51,1
274,0.6295844274,0.6982537827,0,60.4366509303,1,1,4,3,1,4,1,30,7,?
275,0.2729865333,0.5119155227,-1,79.6126879289,2,2,4,2,3,2,1,36,73,1
276,0.3926443994,0.4784645885,0,73.4470847861,0,1,3,1,3,0,1,53,79,0
277,0.4284760068,0.8155750861,0,58.7552402023,0,0,1,4,4,3,0,71,75,1
278,1.0087668374,0.9018566226,-1,74.6168845616,3,2,3,1,3,2,0,47,47,1
279,0.4728517435,0.1606248172,1,70.8135487607,-1,2,3,2,2,1,0,45,63,0
280,0.4430606683,?,-1,69.0983651876,4,2,1,3,2,3,0,27,29,1
281,0.391943051,0.7816326667,-1,53.9721128249,0,3,3,3,4,2,1,66,16,1
282,0.6680757419,0.5114103466,1,66.2444588038,2,3,4,1,?,3,1,36,64,0
283,0.6208908009,0.5244897261,0,60.6040901533,3,2,2,4,3,2,0,51,?,1
284,0.0950985421,0.6018515416,1,62.9760390843,1,1,2,3,4,4,0,13,58,1
285,?,0.410536904,-1,63.8998723328,0,1,2,2,2,4,0,38,30,0
286,0.2451452872,0.7102424694,1,77.4655293777,1,1,1,2,1,1,1,50,49,1
287,0.6747768709,0.1891405287,1,62.2925814203,?,1,5,1,2,2,0,54,34,0
288,0.4780543048,0.3877389088,0,64.6439527058,2,2,3,1,2,1,1,30,37,1
289,0.6347103944,0.6488393469,1,57.4977956948,2,?,3,4,2,2,0,33,78,1
290,0.7781661289,0.3799245207,0,66.0630871633,?,3,4,2,5,4,1,24,70,0
291,0.8581433092,0.410443975,1,64.1340348924,2,2,5,2,4,2,1,41,97,0
292,0.5333438065,0.6439680197,1,59.0422622488,1,1,5,1,2,3,0,20,39,1
293,0.6559616521,0.6862706133,?,73.005438867,2,1,1,4,4,3,1,43,68,1
294,0.3227371329,0.531674175,0,?,4,1,3,?,1,3,0,42,26,1
295,0.5375130149,0.6331362615,0,72.8520705465,0,1,2,5,2,4,1,57,46,0
296,0.5880664469,0.6739934037,1,66.9550738655,1,1,3,1,4,2,0,17,78,1
297,0.5153602311,0.7927110335,1,55.9127736467,1,3,4,3,3,3,1,41,45,0
298,0.5151025773,0.0068583423,-1,54.5149464748,0,0,2,5,3,2,0,40,48,0
299,0.187902091,0.8607041219,0,77.4020188934,1,1,5,1,2,2,1,-2,74,0
300,0.6386003803,0.2599628266,0,?,2,2,3,1,3,3,1,9,69,0
301,0.475430382,?,1,59.6645257362,2,3,4,3,1,3,0,17,22,0
302,0.598802498,0.2209938366,?,72.8976929956,0,2,3,1,3,2,1,44,48,0
303,0.3407186562,0.5028349103,1,66.794704029,2,3,1,1,1,1,1,19,60,0
304,0.457242033,0.2769094295,0,67.1547637828,3,0,3,2,2,1,1,0,13,0
305,0.371838146,0.5116007975,1,73.077283432,2,1,3,3,3,2,1,31,60,1
306,0.5720039508,?,-1,69.5847595158,1,3,5,2,3,1,1,83,75,0
307,0.5632247248,?,1,63.6520102539,?,3,2,4,2,3,1,51,55,0
308,0.1262190497,0.7615941229,-1,67.3890758649,3,0,4,3,3,2,?,88,8,1
309,0.3990513958,0.3996386942,-1,69.9260176441,2,0,4,1,3,2,1,38,38,1
310,?,0.3861959537,0,61.4889058322,2,1,5,3,4,2,0,37,61,1
311,0.3365277538,0.5339852245,-1,63.7317382617,-1,1,?,4,3,2,1,50,44,0
312,0.345529832,0.3693232271,0,61.6404653411,0,4,3,3,3,3,1,21,25,0
